Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,171133,0
3/31/2022 11:59:59 PM,171656,0
3/31/2022 11:59:59 PM,171759,0
3/31/2022 11:59:59 PM,171768,5408
3/31/2022 11:59:59 PM,172251,2486
3/31/2022 11:59:59 PM,172457,0
3/31/2022 11:59:59 PM,172475,0
3/31/2022 11:59:59 PM,172859,0
3/31/2022 11:59:59 PM,173306,0
3/31/2022 11:59:59 PM,173342,0
3/31/2022 11:59:59 PM,173557,0
3/31/2022 11:59:59 PM,173575,0
3/31/2022 11:59:59 PM,173641,130
3/31/2022 11:59:59 PM,173959,21
3/31/2022 11:59:59 PM,174321,0
3/31/2022 11:59:59 PM,174367,0
3/31/2022 11:59:59 PM,174572,52788
3/31/2022 11:59:59 PM,175056,0
3/31/2022 11:59:59 PM,175140,0
3/31/2022 11:59:59 PM,175458,0
3/31/2022 11:59:59 PM,175609,3306
3/31/2022 11:59:59 PM,176101,400
3/31/2022 11:59:59 PM,176325,0
3/31/2022 11:59:59 PM,176437,0
3/31/2022 11:59:59 PM,176464,0
3/31/2022 11:59:59 PM,176642,0
